Ranking,Natl.,Wins,Total,Finals,Clay,Total.Clay,Hard,Total.Hard,Grass,Total.Grass,Year.Wins,Year.Total,Year.Finals,Year.Clay,Year.Clay.Total,Year.Hard,Year.Hard.Total,Year.Grass,Year.Grass.Total,ChTitles,YearTitles
1,ESP,34,44,6,18,23,10,13,0,0,58,64,6,21,24,32,35,5,6,2,5
2,SRB,28,36,3,16,19,4,6,0,0,57,68,6,15,18,35,43,7,7,3,5
3,SUI,16,23,1,3,6,7,9,3,4,53,63,6,9,11,33,40,11,12,1,4
4,AUT,19,30,3,16,22,3,8,0,0,49,68,7,23,30,26,37,0,1,2,5
5,RUS,41,62,2,6,10,32,46,1,2,59,80,9,8,13,46,59,5,8,1,4
6,GRE,37,64,4,21,33,14,27,0,0,104,166,6,15,20,37,54,2,5,1,3
7,GER,22,38,2,15,24,7,14,0,0,44,69,3,16,24,26,40,2,5,2,1
8,ITA,54,80,8,11,20,38,53,0,0,43,68,3,12,16,19,38,12,14,3,2
9,ESP,82,137,5,33,59,48,76,0,0,42,64,2,8,15,27,40,7,9,3,2
10,FRA,38,45,6,21,25,17,20,0,0,37,56,1,6,10,30,42,1,4,6,1
11,BEL,83,126,8,42,60,40,63,0,0,36,63,2,6,12,20,38,10,13,7,0
12,ITA,90,146,9,88,140,2,6,0,0,30,54,1,14,23,14,28,2,3,6,1
13,JPN,48,65,7,19,21,29,42,0,1,29,43,1,10,15,15,23,4,5,6,1
14,ARG,128,197,19,123,185,5,12,0,0,40,66,3,13,22,23,38,4,6,8,1
15,CAN,28,44,3,1,5,27,37,0,2,38,66,3,4,10,34,53,0,3,2,1
16,SUI,54,72,8,45,56,9,15,0,0,33,52,2,8,13,23,35,2,4,6,0
17,RUS,58,95,3,21,34,37,61,0,0,30,59,0,7,13,19,39,4,7,2,0
18,AUS,36,57,5,8,12,11,22,9,12,41,61,5,1,5,38,51,2,5,1,3
19,USA,40,57,3,5,8,33,46,0,0,30,48,2,0,0,25,42,5,6,3,1
20,BUL,47,81,5,11,19,34,55,2,3,22,43,0,5,11,17,30,0,2,4,0
21,CAN,47,78,5,33,47,14,30,0,0,33,56,4,13,22,12,23,8,11,4,0
22,FRA,63,102,3,35,54,28,48,0,0,21,42,0,2,7,14,27,5,8,1,0
23,RUS,49,83,4,14,29,35,53,0,0,38,57,2,5,8,32,47,1,1,1,1
24,FRA,104,160,13,56,94,48,66,0,0,34,63,3,15,20,16,37,3,6,6,2
25,ARG,163,248,15,146,216,17,33,0,0,36,61,2,21,30,11,24,4,7,13,1
26,GEO,55,111,6,22,52,32,57,0,0,28,52,1,10,16,17,32,1,4,5,1
27,ESP,102,144,12,91,126,11,18,0,0,30,52,1,5,14,23,34,2,4,11,1
28,CRO,23,33,2,11,16,12,16,0,0,27,49,1,8,14,15,29,4,6,2,0
29,FRA,72,94,10,2,3,60,79,10,11,33,52,2,6,11,23,34,4,7,9,2
30,AUS,26,31,4,10,11,11,14,5,6,23,38,2,1,3,20,30,2,5,4,2
31,CAN,11,27,1,0,0,11,26,0,0,22,36,0,0,0,14,26,8,10,0,0
32,USA,67,91,8,0,0,64,85,3,6,31,61,3,8,16,16,35,7,10,5,1
33,CHI,96,179,7,76,145,20,34,0,0,32,56,3,20,29,10,22,2,5,4,2
34,SRB,100,158,7,73,111,26,43,0,0,21,48,2,12,21,9,27,0,2,6,1
35,GER,132,199,18,69,110,62,95,0,0,35,64,0,11,18,18,37,6,9,5,0
36,USA,54,79,6,14,20,37,54,3,5,27,40,1,2,8,23,38,2,4,4,1
37,POL,62,104,5,16,31,42,67,0,0,25,49,1,2,7,19,35,4,7,3,1
38,SRB,86,153,11,78,122,8,27,0,0,20,42,1,17,26,2,12,1,4,2,1
39,CRO,25,43,2,19,29,6,12,0,0,22,41,0,5,9,15,28,2,4,2,0
40,SRB,166,257,17,141,205,21,44,2,3,31,49,2,9,13,22,35,0,1,10,0
41,ESP,146,216,13,146,216,0,0,0,0,30,54,2,22,34,8,19,0,1,7,1
42,GBR,108,177,14,0,1,77,131,24,35,19,40,1,0,2,15,31,4,7,7,0
43,FRA,173,261,20,21,40,139,199,11,18,27,53,3,2,6,19,38,6,9,13,1
44,USA,63,85,9,7,9,56,75,0,1,24,41,1,3,4,13,27,8,10,7,0
45,URU,161,239,18,157,226,4,13,0,0,24,47,1,20,32,3,12,1,3,14,0
46,MDA,73,164,1,21,48,43,99,7,14,31,57,1,7,13,23,40,1,4,1,1
47,USA,60,144,2,10,27,44,104,6,13,23,50,0,4,9,18,37,1,4,1,0
48,AUS,148,224,18,13,25,114,169,3,7,21,49,0,4,11,15,32,2,6,10,0
49,ESP,37,58,2,16,26,13,17,0,0,26,53,0,8,17,13,27,5,9,1,0
50,ARG,108,206,3,102,188,6,18,0,0,22,43,2,18,29,3,11,1,3,2,1
51,FRA,102,175,10,53,91,43,76,5,0,28,55,0,10,20,16,30,2,5,6,0
52,ITA,66,125,4,33,65,31,52,0,0,20,43,1,11,23,4,13,5,7,3,1
53,GBR,45,71,5,1,2,43,64,1,5,21,46,1,4,12,15,29,2,5,3,0
54,NOR,58,102,3,39,72,19,30,0,0,23,52,1,19,27,4,14,0,1,1,0
55,FRA,49,81,6,11,23,38,58,0,0,27,54,1,5,10,14,32,8,12,2,0
56,KAZ,77,125,6,6,14,68,103,1,4,15,30,2,1,2,10,21,4,7,6,0
57,FRA,57,77,9,0,1,47,63,2,4,17,40,0,1,5,10,25,6,10,5,0
58,SLO,138,176,18,97,123,41,53,0,0,20,37,1,11,18,8,15,1,4,16,0
59,SRB,53,85,3,12,23,41,62,0,0,24,46,1,1,3,17,33,6,10,2,0
60,POR,80,136,7,66,107,14,28,0,0,26,57,0,10,22,12,27,4,8,5,0
180,CZE,222,390,12,127,219,76,140,5,7,21,42,0,6,13,10,21,5,7,9,0
181,ITA,76,160,4,37,89,37,60,0,0,35,61,3,12,24,23,37,0,0,0,0
182,ESP,101,223,4,53,120,45,97,0,0,32,58,1,10,20,20,35,0,0,1,1
183,SVK,282,463,25,24,54,222,352,9,16,23,36,1,0,0,12,22,3,5,11,1
184,CAN,214,410,12,40,98,166,295,5,13,23,47,1,3,7,19,37,1,3,4,1
185,AUS,43,67,5,4,10,33,46,4,8,7,22,0,1,6,4,11,2,5,3,0
186,KAZ,67,129,1,31,59,36,70,0,0,24,37,1,15,23,9,14,0,0,0,0
187,GER,59,115,4,17,37,41,72,1,5,19,38,2,9,19,10,18,0,1,2,1
188,USA,30,52,3,0,0,30,52,0,0,25,38,3,0,0,25,38,0,0,2,2
189,BRA,36,71,2,16,33,20,38,0,0,32,54,2,15,26,17,28,0,0,1,1
190,ESP,75,127,2,64,102,11,25,0,0,45,72,0,35,51,10,21,0,0,0,0
191,COL,54,120,2,44,89,10,31,0,0,19,36,0,16,27,3,9,0,0,1,0
192,FRA,51,101,2,8,21,43,79,0,1,29,52,1,5,11,24,40,0,1,1,0
193,CHN,93,200,2,2,10,90,186,0,2,35,59,1,1,2,34,57,0,0,0,0
194,FRA,223,356,21,16,39,178,274,17,25,5,8,0,0,1,5,7,0,0,11,0
195,ARG,101,219,2,91,189,10,29,0,0,41,80,1,41,65,0,5,0,0,1,1
196,USA,26,35,2,1,2,20,36,0,0,26,35,2,1,2,20,36,0,0,1,1
197,ESP,51,107,2,46,86,5,21,0,0,35,61,1,32,51,3,10,0,0,1,0
198,NED,24,39,1,7,16,14,18,0,0,21,31,1,4,9,14,18,0,0,1,1
199,AUS,49,69,4,9,12,40,56,0,1,12,15,1,1,1,11,14,0,0,3,0
200,ESP,58,121,1,38,76,20,42,0,0,37,67,1,23,41,14,25,0,0,0,0
201,TUN,175,292,14,40,82,129,199,1,4,6,16,0,1,3,5,13,0,0,8,0
202,POR,52,108,0,26,59,22,44,0,0,30,49,0,17,28,9,16,0,0,0,0
203,GER,224,388,17,73,138,114,195,10,14,16,29,1,8,11,8,17,0,1,7,1
204,FRA,85,164,6,42,85,42,75,0,0,24,43,1,13,22,10,19,0,0,2,0
205,ESP,115,185,12,101,154,9,22,0,0,22,38,2,20,33,2,5,0,0,7,2
206,FRA,70,155,2,17,48,53,107,0,0,26,51,1,3,8,23,43,0,0,1,0
207,USA,132,222,8,43,73,80,134,9,15,10,17,0,2,5,7,10,1,2,3,0
208,ARG,44,92,1,36,76,8,16,0,0,27,46,1,21,35,6,11,0,0,1,1
209,ARG,147,275,7,114,209,32,63,1,2,9,16,1,9,15,0,1,0,0,2,1
210,USA,76,135,6,13,24,62,109,1,2,16,28,1,3,7,13,21,0,0,4,0
211,BRA,34,59,1,28,45,6,12,0,0,31,51,1,25,39,6,12,0,0,1,1
212,RUS,78,157,2,42,85,35,68,0,0,24,46,0,15,27,9,19,0,0,1,0
213,CHI,28,53,0,20,36,8,17,0,0,28,51,0,20,35,8,16,0,0,0,0
214,ESP,49,89,4,19,37,30,52,0,0,24,41,1,6,13,18,28,0,0,2,1
215,CHN,38,89,0,9,20,29,69,0,0,13,27,0,3,6,10,21,0,0,0,0
216,JPN,177,376,8,2,9,151,316,3,12,26,52,0,0,0,25,49,0,1,3,0
217,FRA,35,79,0,18,43,17,36,0,0,20,46,0,10,23,10,23,0,0,0,0
218,USA,93,147,7,7,14,83,126,3,6,19,32,2,0,0,19,32,0,0,5,1
219,SRB,167,254,19,73,110,73,109,0,0,7,18,0,3,6,3,9,1,3,14,0
220,FRA,115,210,8,37,57,70,138,4,6,18,39,1,9,15,8,22,0,0,3,0
221,AUS,71,134,2,7,13,61,116,0,0,37,64,1,2,6,34,56,0,0,1,0
222,FRA,95,200,1,43,95,52,103,0,0,27,54,0,8,20,19,33,0,0,1,0
223,GER,237,334,12,65,131,130,232,6,10,9,18,0,3,5,4,9,2,3,3,0
224,USA,73,130,5,7,14,65,114,1,2,27,47,1,2,3,24,42,1,2,3,1
225,ITA,166,356,9,89,202,71,141,0,0,26,51,2,3,11,23,40,0,0,3,0
226,LAT,60,102,7,20,38,27,44,0,0,6,23,0,1,7,5,13,0,3,3,0
227,ESP,251,485,16,77,157,171,312,1,11,12,30,1,5,9,5,17,0,1,4,0
228,USA,44,82,2,2,3,40,75,2,4,16,33,0,2,3,13,28,1,2,1,0
229,ITA,92,187,6,44,98,44,81,2,4,25,48,1,7,16,14,24,2,4,1,0
230,USA,180,286,16,29,47,147,231,3,7,20,40,0,0,0,20,40,0,0,8,0
231,CZE,92,180,1,54,110,30,56,0,0,40,73,0,17,35,19,32,0,0,0,0
232,FRA,107,210,5,59,124,48,85,0,0,25,38,1,1,1,24,37,0,0,2,0
233,GER,23,51,0,15,35,3,9,0,0,18,36,0,12,24,1,5,0,0,0,0
234,FRA,35,79,1,19,46,16,33,0,0,26,53,1,13,27,13,26,0,0,0,0
235,TPE,32,65,1,11,19,20,42,0,0,26,47,1,10,17,16,29,0,0,0,0
236,BRA,323,541,24,267,451,56,90,0,0,15,26,2,10,21,5,0,0,0,11,1
237,ARG,22,46,1,20,43,2,3,0,0,18,29,1,16,26,2,3,0,0,0,0
238,KOR,107,221,2,5,17,99,197,0,1,25,49,1,0,2,25,47,0,0,0,0
239,GER,74,117,8,39,62,29,45,0,0,5,15,0,1,7,4,8,0,0,5,0
240,GBR,87,187,4,6,14,77,155,1,14,25,46,1,0,0,25,43,0,3,0,0
241,ITA,50,102,3,33,67,3,16,0,1,18,43,1,16,31,1,9,0,1,0,0
242,GER,241,426,16,83,158,143,237,5,11,23,43,1,6,11,15,27,1,3,8,0
243,USA,34,69,0,4,8,30,61,0,0,23,43,0,4,8,19,35,0,0,0,0
244,AUS,167,258,13,8,14,111,178,26,36,5,21,0,0,2,3,12,2,7,7,0
245,ESP,51,131,1,14,38,37,91,0,0,26,54,1,8,17,18,36,0,0,0,0
246,SRB,93,207,5,68,139,25,68,0,0,23,49,1,18,34,5,15,0,0,1,0
247,KOR,36,78,2,1,3,31,69,0,0,22,38,1,1,2,18,32,0,0,0,0
248,ARG,18,32,0,15,26,3,6,0,0,18,31,0,15,25,3,6,0,0,0,0
249,USA,21,41,2,7,16,14,25,0,0,21,34,2,7,12,14,22,0,0,0,0
250,CRO,63,125,2,25,56,33,58,0,1,24,49,0,10,23,14,24,0,1,1,0
251,RUS,33,63,1,14,29,19,32,0,0,27,44,1,11,25,16,27,0,0,0,0
252,FRA,6,13,0,3,5,3,8,0,0,6,13,0,3,5,3,8,0,0,0,0
253,GER,64,140,0,25,58,30,66,0,0,29,58,0,14,26,13,28,0,0,0,0
254,AUS,73,147,1,9,25,58,109,1,4,23,47,0,2,6,20,39,0,0,1,0
255,RUS,31,71,0,5,16,26,55,0,0,20,42,0,1,8,19,34,0,0,0,0
256,UKR,200,343,15,11,29,177,292,5,11,25,41,1,2,4,20,32,0,0,7,1
257,RUS,43,97,2,3,13,35,76,0,1,23,48,1,3,8,16,34,0,1,1,0
258,DOM,30,75,3,14,35,16,40,0,0,13,37,1,4,15,9,22,0,0,0,0
259,ITA,50,94,2,44,81,6,13,0,0,25,52,1,23,45,2,7,0,0,0,0
260,BEL,223,396,18,21,50,137,253,13,26,18,38,0,1,3,10,24,6,9,2,0
261,AUS,81,130,8,29,59,47,61,5,10,11,17,2,1,3,8,9,2,5,5,1
262,JPN,45,119,0,0,0,41,104,0,0,15,27,0,0,0,14,25,0,0,0,0
263,JPN,39,72,2,1,3,37,64,0,1,14,28,1,1,3,13,23,0,1,1,1
